execucao,modelo_base,tupla,acuracia,precisao,recall,f1,tempo_treino,tempo_teste,tempo_total,tamanho
1,stride16,6,0.1882,0.18913567599240771,0.18819999999999998,0.18466896080978668,0.20218157768249512,2.644123077392578,2.8463046550750732,99622
2,stride16,6,0.1788,0.1825342988219113,0.1788,0.17820115756064883,0.2027113437652588,2.8237931728363037,3.0265045166015625,99778
3,stride16,6,0.1854,0.18492473038375948,0.1854,0.18132428305604797,0.20335841178894043,3.0074880123138428,3.210846424102783,95962
4,stride16,6,0.1828,0.1821744225338418,0.18280000000000002,0.17984927135657047,0.19752740859985352,2.862231492996216,3.0597589015960693,97894
5,stride16,6,0.1894,0.1924150172959363,0.1894,0.18719102819329506,0.20790982246398926,2.7550148963928223,2.9629247188568115,99562
6,stride16,6,0.1832,0.18470553681811197,0.1832,0.18092450128332388,0.20720171928405762,2.8215038776397705,3.028705596923828,98266
7,stride16,6,0.1914,0.19813111326446906,0.19140000000000001,0.18861173890007682,0.20326972007751465,2.8779687881469727,3.0812385082244873,97666
8,stride16,6,0.1824,0.1846682592396902,0.18239999999999998,0.17901988285694398,0.1956336498260498,2.887268543243408,3.082902193069458,95770
9,stride16,6,0.18,0.18223875162574957,0.18,0.17766602295534833,0.20248794555664062,2.825707197189331,3.0281951427459717,99142
10,stride16,6,0.1775,0.18287557983503458,0.17750000000000002,0.1757177581346352,0.2003769874572754,2.930849313735962,3.1312263011932373,96286
1,stride16,8,0.1779,0.18078170979052224,0.1779,0.17647102197615522,0.2092745304107666,1.5026700496673584,1.711944580078125,146910
2,stride16,8,0.1929,0.189342935182029,0.1929,0.18673659617121993,0.20026826858520508,1.565087080001831,1.7653553485870361,151134
3,stride16,8,0.1881,0.1876607641077454,0.1881,0.18450429954413994,0.2001798152923584,1.5174670219421387,1.717646837234497,152670
4,stride16,8,0.1919,0.1972316077709591,0.19190000000000002,0.19225154053600566,0.19866013526916504,1.4208223819732666,1.6194825172424316,155430
5,stride16,8,0.1892,0.19461034911155534,0.18919999999999998,0.18789004471297782,0.20098519325256348,1.5312771797180176,1.732262372970581,153150
6,stride16,8,0.1846,0.1894011176772898,0.1846,0.18140869310605426,0.20047855377197266,1.531480312347412,1.7319588661193848,153162
7,stride16,8,0.1834,0.18521445176810294,0.1834,0.18129903303787256,0.20096373558044434,1.5270373821258545,1.7280011177062988,154854
8,stride16,8,0.1916,0.18958523060223686,0.1916,0.1881832540608091,0.1933143138885498,1.5071477890014648,1.7004621028900146,150294
9,stride16,8,0.1894,0.18933641648239036,0.1894,0.18834238837877698,0.19381070137023926,1.5499651432037354,1.7437758445739746,148518
