execucao,modelo_base,tupla,acuracia,precisao,recall,f1,tempo_treino,tempo_teste,tempo_total,tamanho
1,stride4,6,0.2378,0.27141134273039424,0.2378,0.23106487600481662,2.3919858932495117,5.232010364532471,7.623996257781982,2060698
2,stride4,6,0.2451,0.2782434442858458,0.24510000000000004,0.2399970887637941,2.531791925430298,5.195711612701416,7.727503538131714,2058022
3,stride4,6,0.2373,0.27305857953511375,0.23729999999999998,0.2344568116379983,2.450793743133545,5.230307579040527,7.681101322174072,2057698
4,stride4,6,0.235,0.27260485099480564,0.23500000000000001,0.22831204950808162,2.4332540035247803,5.201124668121338,7.634378671646118,2058298
5,stride4,6,0.2352,0.27336402767711443,0.23520000000000002,0.2289406650372993,2.4780588150024414,5.290380001068115,7.768438816070557,2062378
6,stride4,6,0.2348,0.2682041125177184,0.23479999999999998,0.2288213613865125,2.477302074432373,5.26209020614624,7.739392280578613,2066350
7,stride4,6,0.2288,0.2673276435041966,0.22880000000000003,0.22419732123452585,2.477203369140625,5.296693801879883,7.773897171020508,2059546
8,stride4,6,0.2395,0.2758801858307101,0.23949999999999996,0.23448278530979091,2.4632318019866943,5.224231243133545,7.687463045120239,2062390
9,stride4,6,0.2364,0.27234000745987663,0.23640000000000003,0.2316213192598719,2.4620742797851562,5.2040393352508545,7.666113615036011,2064070
10,stride4,6,0.2436,0.27978069907491215,0.24359999999999998,0.23761742379053175,2.4687273502349854,5.277612924575806,7.746340274810791,2056366
1,stride4,8,0.2556,0.2839844320077159,0.2556,0.2488074659546025,2.7112314701080322,2.976938009262085,5.688169479370117,4035690
2,stride4,8,0.2609,0.2900250782830989,0.2609,0.25573652272986047,3.1087567806243896,2.8972020149230957,6.005958795547485,4032498
3,stride4,8,0.2654,0.29872125657349197,0.26539999999999997,0.26213548566707723,2.672205924987793,2.912452220916748,5.584658145904541,4015350
4,stride4,8,0.2571,0.29043308022465963,0.2571,0.253442789190656,2.642589807510376,2.9054534435272217,5.548043251037598,4037070
5,stride4,8,0.2557,0.2855962640540315,0.25570000000000004,0.25155588478218527,2.6431384086608887,2.9225516319274902,5.565690040588379,4036686
6,stride4,8,0.259,0.2912935603942838,0.259,0.25568252889149345,2.6928186416625977,2.9145987033843994,5.607417345046997,4025502
7,stride4,8,0.2602,0.2875654271715908,0.2602,0.25372296304733544,2.8474018573760986,2.9726431369781494,5.820044994354248,4022646
8,stride4,8,0.2605,0.29573695842668485,0.26050000000000006,0.2579252529313916,2.697509527206421,2.97813081741333,5.675640344619751,4032870
9,stride4,8,0.2613,0.2927387065187692,0.26130000000000003,0.2590455891726255,2.6998729705810547,2.967219591140747,5.667092561721802,4029378
10,stride4,8,0.2573,0.29161568638710783,0.2573,0.25268128987712196,2.6995201110839844,2.9439518451690674,5.643471956253052,4036194
1,stride4,12,0.3193,0.343465684893813,0.31930000000000003,0.3184472251640824,2.894728660583496,2.5987775325775146,5.493506193161011,11327162
2,stride4,12,0.3164,0.3402254179699352,0.3164,0.3148910221736202,2.9094667434692383,2.5907654762268066,5.500232219696045,11268242
3,stride4,12,0.3167,0.34035588292872804,0.3167,0.3121369558268856,2.8860082626342773,2.572831630706787,5.4588398933410645,11209418
4,stride4,12,0.3215,0.3448579916788367,0.3215,0.3189230984079011,2.867210865020752,2.5345427989959717,5.401753664016724,11265566
5,stride4,12,0.3163,0.3386500066355581,0.3163,0.31236701980967696,2.884793996810913,2.518068552017212,5.402862548828125,11252066
6,stride4,12,0.3145,0.33752192906673295,0.31449999999999995,0.31270883365066593,2.8427534103393555,2.528424024581909,5.371177434921265,11316830
7,stride4,12,0.3234,0.34962224385077484,0.3234,0.3209105245027929,2.835388422012329,2.52268385887146,5.358072280883789,11287406
8,stride4,12,0.319,0.338022145395387,0.319,0.31513975946084144,2.875145196914673,2.5575029850006104,5.432648181915283,11301902
9,stride4,12,0.3276,0.34858534885128234,0.3276,0.3243711561799194,2.869856119155884,2.5212955474853516,5.391151666641235,11257370
10,stride4,12,0.3195,0.343701441090868,0.3195,0.31454300189510837,2.8608875274658203,2.5364291667938232,5.3973166942596436,11287622
1,stride4,20,0.3696,0.3700557141237074,0.3696,0.3660695258641651,2.715930461883545,2.358563184738159,5.074493646621704,25098070
2,stride4,20,0.3763,0.377232629314893,0.37629999999999997,0.3732969571586159,2.7259700298309326,2.3618085384368896,5.087778568267822,25157278
3,stride4,20,0.3718,0.3730122922005798,0.3718,0.3684279135833199,2.7219295501708984,2.369450807571411,5.09138035774231,25227274
4,stride4,20,0.3733,0.37297756794971865,0.3733,0.3683528410410689,2.711273431777954,2.369060754776001,5.080334186553955,25177558
5,stride4,20,0.3669,0.3651873788871793,0.3669,0.3634860491973505,2.7611749172210693,2.4210245609283447,5.182199478149414,25173130
6,stride4,20,0.369,0.37035747564852955,0.369,0.3651798554056296,2.7242960929870605,2.373535633087158,5.097831726074219,25142134
7,stride4,20,0.3676,0.3684115481777611,0.36760000000000004,0.36330068054458653,2.716275691986084,2.3640096187591553,5.080285310745239,25146322
8,stride4,20,0.364,0.36060334909220393,0.364,0.35900103501376196,2.7538914680480957,2.4084789752960205,5.162370443344116,25242646
9,stride4,20,0.3735,0.37224173206389044,0.37350000000000005,0.3694637748056674,2.714475154876709,2.347325086593628,5.061800241470337,25240138
10,stride4,20,0.3688,0.36901285643776804,0.36879999999999996,0.3652092427612253,2.757689952850342,2.4142842292785645,5.171974182128906,25199794
1,stride4,32,0.3137,0.3134760414880432,0.3137,0.30366572435559414,2.269226312637329,1.659841537475586,3.929067850112915,25673046
2,stride4,32,0.3078,0.31237702371774745,0.30779999999999996,0.29519636092670554,2.259974956512451,1.6537978649139404,3.9137728214263916,25692966
3,stride4,32,0.3108,0.312707212591789,0.3108,0.298109749761114,2.2516016960144043,1.663468599319458,3.9150702953338623,25640178
4,stride4,32,0.3118,0.3128793988446651,0.31179999999999997,0.30083896606369015,2.267446517944336,1.664773941040039,3.932220458984375,25674186
5,stride4,32,0.3156,0.31641979465186976,0.3156,0.3053038901650929,2.2629449367523193,1.6618072986602783,3.9247522354125977,25685778
6,stride4,32,0.3121,0.31146367048315,0.31209999999999993,0.3003132030204025,2.2506823539733887,1.66275954246521,3.9134418964385986,25684842
7,stride4,32,0.3104,0.3156610054409073,0.31039999999999995,0.2998432928387899,2.258117437362671,1.6680972576141357,3.9262146949768066,25661586
8,stride4,32,0.3039,0.30967057471142745,0.3039,0.29377754336615775,2.2578368186950684,1.6648342609405518,3.92267107963562,25670190
9,stride4,32,0.3145,0.3137569440515811,0.31449999999999995,0.304577408663044,2.2631537914276123,1.6662986278533936,3.929452419281006,25697466
10,stride4,32,0.3089,0.30941528691985243,0.30890000000000006,0.2985259992474665,2.260812759399414,1.6638143062591553,3.9246270656585693,25683330
1,stride4,64,0.1595,0.3198864532742045,0.1595,0.12448612633362814,1.8373942375183105,1.0500831604003906,2.887477397918701,14451510
2,stride4,64,0.1533,0.2959898023739348,0.1533,0.11544771211805016,1.8406803607940674,1.0502078533172607,2.890888214111328,14451510
3,stride4,64,0.1532,0.31222565174522005,0.1532,0.1161052275570886,1.8570091724395752,1.0566463470458984,2.9136555194854736,14454150
4,stride4,64,0.1552,0.3128365857839542,0.1552,0.11923771135709818,1.8352680206298828,1.0509545803070068,2.8862226009368896,14448450
5,stride4,64,0.1523,0.3105095801470366,0.1523,0.11577841059981102,1.8384411334991455,1.0546772480010986,2.893118381500244,14455494
6,stride4,64,0.158,0.3194062319334162,0.158,0.12186730450221947,1.8539631366729736,1.0473439693450928,2.9013071060180664,14449002
7,stride4,64,0.1553,0.310223455290607,0.1553,0.11813750724473768,1.836028814315796,1.0601773262023926,2.8962061405181885,14452554
8,stride4,64,0.1557,0.32872300627993056,0.1557,0.11946298652269605,1.83461332321167,1.0495312213897705,2.8841445446014404,14456550
9,stride4,64,0.1548,0.32141867479552083,0.1548,0.12056877519488744,1.84395170211792,1.0590150356292725,2.9029667377471924,14451930
10,stride4,64,0.1572,0.328888462747589,0.1572,0.12325601487009023,1.8429250717163086,1.0526816844940186,2.895606756210327,14451846
