execucao,modelo_base,epoca,acuracia,precisao,recall,f1,erro_treino,erro_teste,tempo_treino,tempo_teste,tempo_total
4,convnext,6,0.9569,0.957342334143155,0.9568999999999999,0.9569040853899619,0.055346446186530375,0.13839391429439946,444.88536047935486,27.388132572174072,472.27349305152893
4,convnext,7,0.9547,0.9554189866287333,0.9547000000000001,0.954676017330985,0.0578785762375416,0.15794523937663266,444.93751668930054,27.374279022216797,472.31179571151733
4,convnext,8,0.9543,0.955096422698903,0.9542999999999999,0.9543158398383612,0.05856418817320748,0.15703329755064505,444.848507642746,27.34606957435608,472.19457721710205
4,convnext,9,0.9572,0.9577279803771258,0.9571999999999999,0.9572552799381384,0.05147368915508861,0.1389545751201689,444.51677560806274,27.351667404174805,471.86844301223755
4,convnext,10,0.9452,0.9478484723877554,0.9452,0.9451381335251815,0.05591765891783216,0.17505096826868452,444.4068546295166,27.351313829421997,471.7581684589386
4,convnext,11,0.952,0.9532333827453814,0.952,0.9520921933389719,0.0554296317682399,0.16074049833473886,444.53817868232727,27.333194494247437,471.8713731765747
4,convnext,12,0.9463,0.9472645871455555,0.9463000000000001,0.9463977152428585,0.050706855250674934,0.18546354650240984,444.41613817214966,27.293529987335205,471.70966815948486
4,convnext,13,0.9488,0.9509190249210944,0.9488000000000001,0.9491095088597097,0.05311953535397559,0.1753726310221253,444.3179774284363,27.35512661933899,471.67310404777527
4,convnext,14,0.9277,0.9320146810713025,0.9277,0.9277904848925577,0.047999578095493774,0.2534444833672635,444.33827209472656,27.353904962539673,471.69217705726624
4,convnext,15,0.9416,0.9435630285855263,0.9416,0.9418078920655265,0.051174116842841726,0.19943713263317847,444.3056900501251,27.34720492362976,471.6528949737549
5,convnext,1,0.9563,0.9580440819828189,0.9563,0.956396268677868,0.19632683997340214,0.13255196315040635,444.1220622062683,27.40436577796936,471.52642798423767
5,convnext,2,0.9484,0.9535770334944107,0.9484000000000001,0.9485479727120781,0.08067613037819962,0.15678919558739587,444.5427260398865,27.38497233390808,471.92769837379456
5,convnext,3,0.9618,0.9628292965355879,0.9618,0.9619188796679075,0.06799520573535901,0.11661893991860235,444.5184578895569,27.409999132156372,471.92845702171326
5,convnext,4,0.9496,0.9527072502044881,0.9496,0.9496926822326625,0.06533944332356448,0.1711489020129013,444.5265312194824,27.396528482437134,471.92305970191956
5,convnext,5,0.9546,0.9550434208034391,0.9545999999999999,0.9543143247055449,0.0649659711250659,0.14486493964554967,444.66397976875305,27.379136562347412,472.04311633110046
5,convnext,6,0.9261,0.9459077772298713,0.9260999999999999,0.9301926911922747,0.05612368681503798,0.2525932601991163,444.508216381073,27.40351676940918,471.9117331504822
5,convnext,7,0.9481,0.9522860466829467,0.9481000000000002,0.9486845289524286,0.05471021822198768,0.16768299573498546,444.622572183609,27.398953676223755,472.02152585983276
5,convnext,8,0.9584,0.9589051326220387,0.9583999999999999,0.9583823582780528,0.0566232813365312,0.14160421265253595,444.75720977783203,27.399346113204956,472.156555891037
5,convnext,9,0.9516,0.9533757001972015,0.9516000000000002,0.9515201870221167,0.05283990627987777,0.15237206995344846,444.8313019275665,27.391565799713135,472.22286772727966
5,convnext,10,0.9476,0.9490204846071771,0.9476000000000001,0.9475900456878483,0.05141872929631258,0.17725898779537172,443.733247756958,27.310926914215088,471.0441746711731
5,convnext,11,0.9505,0.9512079983017809,0.9504999999999999,0.950285027444078,0.05430042506832763,0.16344231798960146,444.6995825767517,27.303801774978638,472.00338435173035
5,convnext,12,0.9503,0.951013399663782,0.9503,0.9499362178307521,0.04810212731576951,0.19152223165176666,444.63395380973816,27.2995662689209,471.93352007865906
5,convnext,13,0.9452,0.945711453902384,0.9452,0.9449699473853169,0.05048810323352552,0.19428606721080222,444.84284019470215,27.299678087234497,472.14251828193665
5,convnext,14,0.9519,0.9529198557949939,0.9519,0.9521308494418648,0.051674989247134866,0.1640440992251703,444.5016722679138,27.304368495941162,471.806040763855
5,convnext,15,0.9451,0.9462167180803462,0.9450999999999998,0.9451162433818882,0.04850003670748023,0.19149474455577553,444.83830738067627,27.311338424682617,472.1496458053589
6,convnext,1,0.9603,0.9605528747226929,0.9602999999999999,0.9601984567348893,0.1881994150216927,0.12111513763903432,444.19581937789917,27.209760189056396,471.40557956695557
6,convnext,2,0.9554,0.9568470712954109,0.9554,0.9555792119610009,0.08272823209926734,0.12986948485871788,444.64283776283264,27.21713352203369,471.85997128486633
6,convnext,3,0.9629,0.9636638054916306,0.9629000000000001,0.9629687333666975,0.0656790680810571,0.12330719747040776,444.6251060962677,27.220362663269043,471.84546875953674
6,convnext,4,0.9523,0.9535945191525729,0.9522999999999999,0.9523685164753811,0.06684409627390792,0.15270860263021888,444.4496808052063,27.235374689102173,471.6850554943085
6,convnext,5,0.9596,0.9602479162569917,0.9596,0.9596815373762062,0.0603997180240748,0.12816715654531483,444.6341927051544,27.19368028640747,471.8278729915619
6,convnext,6,0.9584,0.9594354765729045,0.9583999999999999,0.9584996783246964,0.056881657447409875,0.13228378975823238,444.5432891845703,27.214460134506226,471.75774931907654
6,convnext,7,0.9622,0.9624657668233858,0.9621999999999999,0.9622252968451754,0.06002151998369704,0.12114282944210016,444.7261438369751,27.236799478530884,471.962943315506
6,convnext,8,0.9576,0.9582673066445926,0.9576,0.957678538848033,0.05668470025678282,0.13971189765413855,444.51488161087036,27.227343797683716,471.7422254085541
6,convnext,9,0.9536,0.953869246385995,0.9536,0.9535665561556221,0.051586720153994264,0.15873087112418122,444.6339557170868,27.225295305252075,471.85925102233887
6,convnext,10,0.9528,0.9532706242978735,0.9528000000000001,0.9524889853935976,0.054531407808703955,0.15980693284469616,444.67931294441223,27.194058418273926,471.87337136268616
6,convnext,11,0.9446,0.9467140413408359,0.9446,0.9448013798509214,0.053789086665933156,0.19173206673092713,444.6305193901062,27.20002841949463,471.83054780960083
6,convnext,12,0.945,0.9470230515460238,0.945,0.9452645839054739,0.05251189822297129,0.18049925539618844,444.5443353652954,27.224416255950928,471.76875162124634
6,convnext,13,0.9479,0.9506858349845484,0.9479000000000001,0.9482100298306977,0.05051979609727002,0.17849331869963247,444.6250114440918,27.21086096763611,471.8358724117279
6,convnext,14,0.9572,0.957146687668503,0.9571999999999999,0.9570947364699363,0.047509110012777085,0.1421646347779567,444.4205393791199,27.17443084716797,471.59497022628784
