execucao,modelo_base,epoca,acuracia,precisao,recall,f1,erro_treino,erro_teste,tempo_treino,tempo_teste,tempo_total
1,inception_v3,1,0.9239,0.9266900019223376,0.9238999999999999,0.9242583842224997,0.3508584626743098,0.22697231897218212,400.0155005455017,33.81263279914856,433.82813334465027
1,inception_v3,2,0.9371,0.9388116007582988,0.9370999999999998,0.9366867334410227,0.17168759129693745,0.19805377683821757,399.4030156135559,33.82607650756836,433.22909212112427
1,inception_v3,3,0.9339,0.9362581292609388,0.9339000000000001,0.9341449588108299,0.12172748540382823,0.21027577775204256,399.4197988510132,33.72180414199829,433.1416029930115
1,inception_v3,4,0.936,0.9369727384160393,0.9359999999999999,0.9361764126447916,0.10507250675583815,0.20306893796393066,399.40221643447876,33.796740770339966,433.1989572048187
1,inception_v3,5,0.9436,0.9442363881337752,0.9436,0.9435507140144315,0.09045873672875297,0.1820653442791693,399.4032654762268,33.72017860412598,433.1234440803528
1,inception_v3,6,0.9343,0.9363050711319272,0.9343,0.9346959254313981,0.08294954566645872,0.24163370337455894,399.4248356819153,33.71518683433533,433.1400225162506
1,inception_v3,7,0.9318,0.93395771389211,0.9318,0.9320970782366989,0.07987109929367261,0.22520399784111672,399.3944149017334,33.814815282821655,433.20923018455505
1,inception_v3,8,0.9313,0.9332378173453446,0.9312999999999999,0.931732451892465,0.06805660285155678,0.23437363020245247,399.40614342689514,33.71132040023804,433.1174638271332
1,inception_v3,9,0.9418,0.9426868623287087,0.9418,0.9418010209044961,0.06690544079687885,0.19997509991287427,399.42941904067993,33.70153331756592,433.13095235824585
1,inception_v3,10,0.9394,0.9396282883578779,0.9394,0.9393759289583308,0.061133604082267,0.21427383990424453,399.39001512527466,33.72135663032532,433.1113717556
1,inception_v3,11,0.9392,0.9411055448393284,0.9391999999999999,0.9396354013052812,0.061339255369356485,0.21642254606174055,399.4118676185608,33.79015636444092,433.2020239830017
1,inception_v3,12,0.9344,0.9367123365419203,0.9343999999999999,0.9346632184368298,0.05864697251700537,0.22610985119916072,399.45677947998047,33.9125599861145,433.36933946609497
1,inception_v3,13,0.9278,0.9304457190388693,0.9278000000000001,0.9279007462430595,0.05539735608644571,0.26203663241426656,399.4155058860779,33.76173782348633,433.1772437095642
1,inception_v3,14,0.9459,0.9464864095599903,0.9459,0.9458963225190231,0.05198599514179289,0.18743500586860118,399.42919278144836,33.71482181549072,433.1440145969391
1,inception_v3,15,0.9343,0.9345062844022998,0.9343,0.9339016608358808,0.04699527605331343,0.2229754193596969,399.4668548107147,33.74125409126282,433.20810890197754
2,inception_v3,1,0.9351,0.9358983490939699,0.9351,0.934994749650599,0.35892216240048713,0.1989855964662163,399.2190704345703,33.762146949768066,432.9812173843384
