execucao,modelo_base,epoca,acuracia,precisao,recall,f1,erro_treino,erro_teste,tempo_treino,tempo_teste,tempo_total
1,resnet18,1,0.9212,0.9272216946511802,0.9212,0.9216344093579651,0.31243734888713376,0.22887453682060482,93.5897421836853,12.268595218658447,105.85833740234375
1,resnet18,2,0.9216,0.9235573192535853,0.9216,0.9216768522392996,0.1055492035892156,0.23932435995415796,93.77765607833862,12.202484607696533,105.98014068603516
1,resnet18,3,0.9259,0.9267750820359242,0.9259000000000001,0.9259351994990087,0.06232247397284526,0.23412041532323707,93.82757902145386,12.209103345870972,106.03668236732483
1,resnet18,4,0.9215,0.9249862028206712,0.9215,0.921881471503774,0.04238026035363641,0.2713675055700012,93.82980871200562,12.243168592453003,106.07297730445862
1,resnet18,5,0.926,0.9293011290774716,0.9259999999999999,0.9264644744811991,0.04585959734168866,0.2612550125186202,93.6413779258728,12.177638053894043,105.81901597976685
1,resnet18,6,0.9307,0.9322766564226737,0.9307000000000001,0.9308864320382974,0.03712687870640012,0.23993535761874688,93.69835376739502,12.142313241958618,105.84066700935364
1,resnet18,7,0.9275,0.9299899506231574,0.9275,0.9274879564809592,0.03547042376383224,0.2561414829349216,93.88701128959656,12.08582353591919,105.97283482551575
1,resnet18,8,0.9257,0.926987682712104,0.9257,0.9258403556670707,0.02627429322463453,0.28590751844870893,93.87821507453918,12.23448371887207,106.11269879341125
1,resnet18,9,0.9382,0.9390252303942415,0.9381999999999999,0.938325388001136,0.03450075428709007,0.2205975323538237,93.85293006896973,12.14328670501709,105.99621677398682
1,resnet18,10,0.935,0.936097769087786,0.9349999999999999,0.9352812841283544,0.023037573060644863,0.24280669700495805,93.81135845184326,12.176496982574463,105.98785543441772
1,resnet18,11,0.9208,0.9229718581790716,0.9208000000000001,0.920602788532513,0.03164723205685025,0.2884296632454365,93.83626222610474,12.210152626037598,106.04641485214233
1,resnet18,12,0.9308,0.9327245401796581,0.9308,0.9308808141880114,0.034447242360552556,0.26765270493453064,93.86025023460388,12.24727749824524,106.10752773284912
1,resnet18,13,0.9331,0.934055782835852,0.9330999999999999,0.9331456703581106,0.016927225400319757,0.23922962478444545,93.7462830543518,12.121317148208618,105.86760020256042
1,resnet18,14,0.9332,0.9342194136253774,0.9331999999999999,0.9331211882774783,0.024520631263847164,0.25543785764823984,93.8211760520935,12.127941608428955,105.94911766052246
1,resnet18,15,0.9247,0.9275020693362099,0.9247,0.9248250768947784,0.0277424387126456,0.289542573162272,93.8946578502655,12.228148937225342,106.12280678749084
2,resnet18,1,0.9306,0.9305790076339624,0.9305999999999999,0.9301476547505937,0.31187510700024607,0.20483454052783265,93.69961714744568,12.212076663970947,105.91169381141663
