execucao,modelo_base,tupla,acuracia,precisao,recall,f1,tempo_treino,tempo_teste,tempo_total,tamanho
1,resnet50,6,0.748,0.7667453981344873,0.748,0.7520089081088073,30.841886520385742,31.568575143814087,62.41046166419983,22071298
2,resnet50,6,0.7386,0.7595594898132638,0.7386,0.743223604206343,30.95212960243225,31.583719730377197,62.53584933280945,22073398
3,resnet50,6,0.7413,0.7635989525569491,0.7413,0.7457118192622878,30.8418710231781,31.65678572654724,62.49865674972534,22068130
4,resnet50,6,0.7444,0.7642962815490872,0.7444,0.7486331985693405,30.95202946662903,31.695780277252197,62.647809743881226,22078738
5,resnet50,6,0.7376,0.7600010616249133,0.7376,0.7423093727835277,30.934367418289185,31.607471227645874,62.54183864593506,22063318
6,resnet50,6,0.7398,0.7620628482308809,0.7398,0.7446222334828587,30.833175659179688,31.682706117630005,62.51588177680969,22076230
7,resnet50,6,0.7418,0.7639160808371113,0.7418,0.746511785480402,30.928176879882812,31.619659185409546,62.54783606529236,22070686
8,resnet50,6,0.7447,0.7649923230140654,0.7447,0.7486606823604306,30.85820722579956,31.642532348632812,62.50073957443237,22075822
9,resnet50,6,0.732,0.7540658609905317,0.732,0.73663007220946,30.833208799362183,31.640949726104736,62.47415852546692,22061266
10,resnet50,6,0.7443,0.7645033009560658,0.7443,0.7485573300430259,30.898427963256836,31.586472272872925,62.48490023612976,22071442
1,resnet50,8,0.8036,0.8147686251729171,0.8036,0.8060829476219933,31.8806574344635,27.890727043151855,59.771384477615356,44730238
2,resnet50,8,0.8068,0.8184926635263677,0.8068,0.8095143104952264,31.8652126789093,27.888843774795532,59.754056453704834,44718478
3,resnet50,8,0.8067,0.8177197938957294,0.8067,0.8090152221381975,31.856133937835693,27.86657404899597,59.722707986831665,44754454
4,resnet50,8,0.802,0.8141197837037104,0.8019999999999999,0.8047008393315622,31.835632801055908,27.863361358642578,59.698994159698486,44743018
5,resnet50,8,0.8049,0.8167467188066588,0.8049,0.8074505126458114,31.939183473587036,28.058931350708008,59.998114824295044,44740006
6,resnet50,8,0.8078,0.81939508558808,0.8078,0.810306601642454,31.970807313919067,28.01565980911255,59.986467123031616,44720398
7,resnet50,8,0.8004,0.8123787191268066,0.8004,0.8030002342562639,31.838656425476074,27.87531280517578,59.713969230651855,44739454
