execucao,modelo_base,acuracia,precisao,recall,f1,erro_treino,media_erro_treino,erro_teste,tempo_treino,tempo_teste,tempo_total
1,resnet50,0.9151,0.9199339717899642,0.9151,0.9148683232664082,0.04121982942804542,0.07900090064803411,0.29665247379224513,3884.5392718315125,23.34910559654236,3907.888377428055
2,resnet50,0.94,0.941316801829067,0.9399999999999998,0.9401665839685185,0.0313152759079881,0.07818019549842314,0.2131277248263359,3885.3498475551605,23.21805763244629,3908.567905187607
3,resnet50,0.9348,0.935235467241111,0.9348000000000001,0.9348785888882312,0.04131704833730102,0.07863136507905798,0.22274946444962598,3885.048463344574,23.223569869995117,3908.272033214569
4,resnet50,0.9277,0.9297760369249675,0.9277000000000001,0.9281219095841255,0.03607207812104479,0.07889010637362612,0.25387175982417187,3886.5954315662384,23.223985195159912,3909.8194167613983
5,resnet50,0.9199,0.9236787650312441,0.9198999999999999,0.9196542950748414,0.03497946072343613,0.07875856331105759,0.30035050331225877,3886.844190597534,23.28540539741516,3910.1295959949493
6,resnet50,0.9335,0.9343720056189998,0.9335000000000001,0.9333795478136178,0.04173217108354087,0.07890622860161334,0.22842105282352695,3886.720277786255,23.268081188201904,3909.988358974457
7,resnet50,0.935,0.935893041139923,0.9349999999999999,0.9351363998321471,0.04053334626035712,0.0789140310726396,0.22277701485760604,3887.1445965766907,23.38993740081787,3910.5345339775085
8,resnet50,0.9422,0.9423844437427069,0.9422,0.9420187876549697,0.040581835673817096,0.07909312279416979,0.20789003202432318,3885.556645154953,23.273518085479736,3908.8301632404327
9,resnet50,0.9231,0.9273496672758856,0.9231,0.923493755777281,0.033956987887520884,0.07878542800663389,0.2734401175115682,3884.541496038437,23.41724705696106,3907.958743095398
10,resnet50,0.9259,0.9281734194219812,0.9259000000000001,0.9255083747947557,0.04656518340292994,0.0788276966518301,0.26735152549381497,3885.5820050239563,23.16456937789917,3908.7465744018555
