execucao,modelo_base,acuracia,precisao,recall,f1,erro_treino,media_erro_treino,erro_teste,tempo_treino,tempo_teste,tempo_total
1,resnet18,0.9291,0.9297540826460325,0.9291,0.9290305111895604,0.023511384547416532,0.05705891016247275,0.2567359407585633,3397.7353994846344,19.533436059951782,3417.268835544586
2,resnet18,0.9299,0.9308661541368931,0.9299,0.9297378155245102,0.02727868571511858,0.05719613274436313,0.2674593963200533,3488.2534947395325,20.900615215301514,3509.154109954834
3,resnet18,0.9206,0.9221551035163216,0.9206,0.920575189893934,0.02203772322880938,0.05802074726853592,0.3133992124584657,3396.520508289337,20.67689275741577,3417.197401046753
4,resnet18,0.9272,0.9297250485450995,0.9272,0.9276697220320342,0.023833280333670336,0.057304949637181676,0.26773526906212675,3560.7376778125763,23.24525785446167,3583.982935667038
5,resnet18,0.9279,0.9280711558889525,0.9279,0.9274064273622201,0.02682045283560615,0.05738183038887025,0.2610185981928548,2902.151778936386,16.999777793884277,2919.1515567302704
6,resnet18,0.9311,0.9323350647483467,0.9311,0.93116426167634,0.025338801208769194,0.05666594804869606,0.25761344378130346,2635.494215965271,17.543715000152588,2653.0379309654236
7,resnet18,0.9253,0.9265431026491026,0.9253,0.9249340962965926,0.029598688300046354,0.05730062171173513,0.30315703625165963,2693.071916103363,18.382351398468018,2711.454267501831
8,resnet18,0.9235,0.9261784316620278,0.9235000000000001,0.9240687342088757,0.028400773926259344,0.05752805918301294,0.2736390613113778,2484.069827079773,18.160340547561646,2502.2301676273346
9,resnet18,0.9353,0.9363710803584372,0.9353,0.9354641521613981,0.030425155094242356,0.05762109233255801,0.22407332373948036,2611.046478509903,17.450112342834473,2628.4965908527374
10,resnet18,0.9299,0.9310816552943859,0.9299,0.929927362256547,0.0208050302269123,0.05703585377048966,0.2458794467811343,1792.592933177948,12.289358615875244,1804.8822917938232
